model_name,fold_idx,accuracy
RandomForestClassifier,0,0.5684
RandomForestClassifier,1,0.6001333333333333
RandomForestClassifier,2,0.5592
RandomForestClassifier,3,0.5818666666666666
LinearSVC,0,0.8436
LinearSVC,1,0.8434666666666667
LinearSVC,2,0.8496
LinearSVC,3,0.8518666666666667
LogisticRegression,0,0.8368
LogisticRegression,1,0.8342666666666667
LogisticRegression,2,0.8321333333333333
LogisticRegression,3,0.8289333333333333
Perceptron,0,0.8332
Perceptron,1,0.8176
Perceptron,2,0.8257333333333333
Perceptron,3,0.8210666666666666
